Timestamp,PV,SP,OUTPUT
2026-06-22T17:17:32.493144,-3.3,100.0,95.0
2026-06-22T17:17:34.526925,-3.3,100.0,95.0
2026-06-22T17:17:36.545349,-3.3,100.0,95.0
2026-06-22T17:17:38.546419,-3.3,100.0,95.0
2026-06-22T17:17:40.532120,-3.3,100.0,95.0
2026-06-22T17:17:42.533822,-3.3,100.0,95.0
2026-06-22T17:17:44.519634,-3.3,100.0,95.0
2026-06-22T17:17:46.537652,-3.3,100.0,95.0
2026-06-22T17:17:48.539823,-3.3,100.0,95.0
2026-06-22T17:17:50.525142,-3.3,100.0,95.0
2026-06-22T17:17:52.527497,-3.3,100.0,95.0
2026-06-22T17:17:54.544671,-3.3,100.0,95.0
2026-06-22T17:17:56.546800,-3.3,100.0,95.0
2026-06-22T17:17:58.564508,-3.3,100.0,95.0
2026-06-22T17:18:00.566301,-3.3,100.0,95.0
2026-06-22T17:18:02.551964,-3.3,100.0,95.0
2026-06-22T17:18:04.610429,-3.3,100.0,95.0
2026-06-22T17:18:06.571417,-3.3,100.0,95.0
2026-06-22T17:18:08.573253,-3.3,100.0,95.0
2026-06-22T17:18:10.558776,-3.3,100.0,95.0
2026-06-22T17:18:12.544819,-3.3,100.0,95.0
2026-06-22T17:18:14.546333,-3.3,100.0,95.0
2026-06-22T17:18:16.564118,-3.3,100.0,95.0
2026-06-22T17:18:18.565900,-3.3,100.0,95.0
2026-06-22T17:18:20.583675,-3.3,100.0,95.0
2026-06-22T17:18:22.585466,-3.3,100.0,95.0
2026-06-22T17:18:24.603467,-3.3,100.0,95.0
2026-06-22T17:18:26.573206,-3.3,100.0,95.0
2026-06-22T17:18:28.590731,-3.3,100.0,95.0
2026-06-22T17:18:30.592563,-3.3,100.0,95.0
2026-06-22T17:18:32.610322,-3.3,100.0,95.0
2026-06-22T17:18:34.628103,-3.3,100.0,95.0
2026-06-22T17:18:36.629814,-3.3,100.0,95.0
2026-06-22T17:18:38.631579,-3.3,100.0,95.0
2026-06-22T17:18:40.617476,-3.3,100.0,95.0
2026-06-22T17:18:42.635384,-3.4,100.0,95.0
2026-06-22T17:18:44.605002,-3.4,100.0,95.0
2026-06-22T17:18:46.622745,-3.4,100.0,95.0
2026-06-22T17:18:48.656631,-3.4,100.0,95.0
2026-06-22T17:18:50.611040,-3.4,100.0,95.0
2026-06-22T17:18:52.644555,-3.4,100.0,95.0
